id,date,meal,coffee,fries,burgers,sodas,nuggets,salad
2,2023-10-13,lunch,0,0,0,0,0,1
2,2023-10-20,lunch,0,0,0,0,0,1
3,2023-10-05,lunch,0,0,0,0,0,1
0,2023-10-06,breakfast,1,0,0,0,0,0
0,2023-10-24,dinner,0,5,4,4,2,0
1,2023-10-21,breakfast,1,0,0,0,0,0
1,2023-10-03,dinner,0,1,1,1,0,0
1,2023-10-03,breakfast,1,0,0,0,0,0
0,2023-10-04,dinner,0,5,3,3,2,0
0,2023-10-19,breakfast,2,0,0,0,0,0
2,2023-10-28,lunch,0,0,0,1,2,1
3,2023-10-08,lunch,0,1,2,2,0,0
2,2023-10-01,lunch,0,0,0,0,0,1
0,2023-10-03,dinner,0,4,5,4,1,0
2,2023-10-11,lunch,0,0,0,0,0,1
0,2023-10-18,dinner,0,4,2,3,3,0
3,2023-10-29,lunch,0,0,0,0,0,1
0,2023-10-31,dinner,0,5,3,4,3,0
3,2023-10-16,lunch,0,0,0,0,0,1
3,2023-10-20,dinner,0,1,3,1,0,0
0,2023-10-19,dinner,0,2,3,1,0,0
2,2023-10-28,lunch,0,0,0,0,0,1
0,2023-10-06,breakfast,2,0,0,0,0,0
1,2023-10-20,lunch,0,1,1,0,0,0
3,2023-10-29,dinner,0,1,0,1,1,0
0,2023-10-25,lunch,0,2,1,0,0,0
3,2023-10-16,dinner,0,2,2,1,0,0
0,2023-10-23,breakfast,2,0,0,0,0,0
1,2023-10-12,breakfast,0,0,0,3,0,0
3,2023-10-06,dinner,0,2,2,2,0,0
0,2023-10-02,dinner,0,3,3,2,1,0
3,2023-10-22,lunch,0,0,0,0,0,1
1,2023-10-01,lunch,0,1,2,0,0,0
2,2023-10-30,lunch,0,2,3,2,2,1
1,2023-10-19,lunch,0,1,2,0,0,0
2,2023-10-02,lunch,0,0,0,0,0,1
2,2023-10-04,lunch,0,1,1,2,1,1
2,2023-10-02,breakfast,1,0,0,0,0,0
2,2023-10-01,dinner,0,1,2,2,0,0
0,2023-10-24,lunch,0,0,0,2,1,1
0,2023-10-10,breakfast,1,0,0,0,0,0
1,2023-10-22,dinner,0,2,3,1,0,0
2,2023-10-16,breakfast,1,0,0,0,0,0
3,2023-10-28,dinner,0,2,2,2,0,0
2,2023-10-26,lunch,0,0,0,0,0,1
1,2023-10-11,lunch,0,0,0,0,0,1
0,2023-10-04,breakfast,3,0,0,0,0,0
2,2023-10-15,lunch,0,0,0,2,1,1
1,2023-10-28,dinner,0,2,3,2,0,0
3,2023-10-02,lunch,0,1,2,2,0,0
1,2023-10-25,lunch,0,0,0,0,0,2
0,2023-10-03,breakfast,1,0,0,0,0,0
0,2023-10-02,dinner,0,1,2,0,0,0
3,2023-10-18,lunch,0,0,0,0,0,1
1,2023-10-08,lunch,0,1,1,0,0,0
0,2023-10-16,breakfast,2,0,0,0,0,0
3,2023-10-29,dinner,0,2,2,2,0,0
1,2023-10-03,lunch,0,0,0,0,0,1
0,2023-10-31,dinner,0,3,3,2,1,0
0,2023-10-10,dinner,0,3,2,1,1,0
2,2023-10-01,lunch,0,0,0,1,1,1
0,2023-10-03,lunch,0,3,2,0,0,0
0,2023-10-13,lunch,0,3,2,0,0,0
2,2023-10-14,breakfast,1,0,0,0,0,0
2,2023-10-17,lunch,0,0,0,0,0,1
1,2023-10-20,lunch,0,0,0,0,0,1
3,2023-10-03,lunch,0,0,0,0,0,1
2,2023-10-02,lunch,0,0,0,0,0,1
2,2023-10-24,lunch,0,0,0,0,0,1
1,2023-10-02,dinner,0,2,1,1,0,0
3,2023-10-06,dinner,0,1,3,1,0,0
0,2023-10-12,breakfast,3,0,0,0,0,0
2,2023-10-08,dinner,0,1,1,1,0,0
2,2023-10-19,lunch,0,0,0,0,0,1
0,2023-10-19,dinner,0,3,2,1,1,0
3,2023-10-23,lunch,0,0,0,0,0,1
0,2023-10-25,lunch,0,3,1,0,0,0
1,2023-10-15,breakfast,3,0,0,0,0,0
3,2023-10-15,lunch,0,0,0,0,0,1
3,2023-10-07,dinner,0,1,3,1,0,0
3,2023-10-11,breakfast,1,0,0,0,0,0
1,2023-10-06,lunch,0,0,0,0,0,1
2,2023-10-22,breakfast,1,0,0,0,0,0
0,2023-10-31,breakfast,1,0,0,0,0,0
2,2023-10-12,lunch,0,0,0,0,0,1
2,2023-10-09,lunch,0,0,0,0,0,1
0,2023-10-17,breakfast,2,0,0,0,0,0
0,2023-10-23,dinner,0,3,3,2,1,0
2,2023-10-19,dinner,0,1,2,2,0,0
2,2023-10-30,lunch,0,0,0,0,0,1
1,2023-10-19,dinner,0,2,3,1,0,0
3,2023-10-07,dinner,0,1,1,2,0,0
2,2023-10-24,dinner,0,1,3,1,0,0
3,2023-10-19,lunch,0,1,2,2,0,0
1,2023-10-09,lunch,0,0,0,0,0,1
3,2023-10-16,dinner,0,1,3,1,0,0
0,2023-10-30,breakfast,0,1,0,0,0,0
2,2023-10-25,lunch,0,0,0,0,0,1
2,2023-10-25,dinner,0,1,3,1,0,0
3,2023-10-27,breakfast,1,0,0,0,0,0
3,2023-10-16,dinner,0,0,0,0,0,1
0,2023-10-31,dinner,0,4,2,2,2,0
1,2023-10-30,lunch,0,0,0,0,0,2
0,2023-10-30,breakfast,2,0,0,0,0,0
3,2023-10-18,dinner,0,2,1,2,0,0
3,2023-10-09,dinner,0,1,1,2,0,0
0,2023-10-18,breakfast,2,0,0,0,0,0
3,2023-10-06,dinner,0,2,2,1,0,0
2,2023-10-21,breakfast,1,0,0,0,0,0
2,2023-10-23,dinner,0,1,2,2,0,0
3,2023-10-12,dinner,0,2,3,1,0,0
3,2023-10-12,lunch,0,0,0,0,0,1
1,2023-10-09,lunch,0,0,0,0,0,2
3,2023-10-10,dinner,0,2,2,1,0,0
1,2023-10-14,breakfast,3,0,0,0,0,0
0,2023-10-11,dinner,0,2,1,0,0,0
3,2023-10-20,dinner,0,2,2,2,0,0
2,2023-10-31,lunch,0,0,0,0,0,1
3,2023-10-16,lunch,0,0,0,0,0,1
1,2023-10-19,lunch,0,0,0,0,0,2
3,2023-10-16,dinner,0,2,1,1,0,0
0,2023-10-09,dinner,0,5,4,5,3,0
0,2023-10-02,dinner,0,3,3,3,2,0
3,2023-10-21,lunch,0,2,2,2,0,0
3,2023-10-25,dinner,0,0,0,0,0,1
0,2023-10-26,dinner,0,6,5,5,2,0
0,2023-10-11,dinner,0,6,4,5,3,0
0,2023-10-02,dinner,0,5,5,5,2,0
1,2023-10-11,dinner,0,2,1,2,0,0
3,2023-10-08,lunch,0,2,1,1,0,0
2,2023-10-11,dinner,0,2,2,1,0,0
2,2023-10-01,lunch,0,0,0,0,0,1
3,2023-10-15,dinner,0,2,3,1,0,0
3,2023-10-12,lunch,0,0,0,0,0,1
3,2023-10-10,dinner,0,2,2,1,0,0
3,2023-10-18,breakfast,1,0,0,0,0,0
2,2023-10-29,lunch,0,0,0,2,1,1
2,2023-10-06,dinner,0,1,3,2,0,0
2,2023-10-27,lunch,0,2,2,2,2,1
3,2023-10-25,lunch,0,2,1,2,0,0
3,2023-10-16,dinner,0,1,1,1,0,0
3,2023-10-03,dinner,0,1,1,1,0,0
1,2023-10-15,breakfast,1,0,0,0,0,0
2,2023-10-19,lunch,0,0,0,2,1,1
0,2023-10-17,lunch,0,0,0,2,2,1
0,2023-10-26,lunch,0,3,2,0,0,0
3,2023-10-10,dinner,0,2,3,1,0,0
2,2023-10-29,lunch,0,0,0,0,0,1
3,2023-10-18,lunch,0,0,0,0,0,1
0,2023-10-16,breakfast,2,0,0,0,0,0
1,2023-10-10,dinner,0,1,3,2,0,0
3,2023-10-17,dinner,0,1,3,2,0,0
0,2023-10-30,breakfast,2,0,0,0,0,0
1,2023-10-16,lunch,0,0,0,0,0,1
0,2023-10-04,dinner,0,3,4,2,0,0
0,2023-10-23,dinner,0,3,3,3,2,0
2,2023-10-29,lunch,0,0,0,0,0,1
3,2023-10-27,lunch,0,0,0,0,0,1
1,2023-10-27,breakfast,3,0,0,0,0,0
2,2023-10-13,lunch,0,0,0,0,0,1
2,2023-10-22,lunch,0,4,3,1,2,1
3,2023-10-28,lunch,0,0,0,0,0,1
3,2023-10-31,lunch,0,0,0,0,0,1
0,2023-10-23,dinner,0,6,2,5,5,0
0,2023-10-19,breakfast,1,0,0,0,0,0
0,2023-10-26,dinner,0,6,6,5,1,0
0,2023-10-03,dinner,0,2,1,0,0,0
2,2023-10-18,lunch,0,0,0,0,0,1
0,2023-10-04,lunch,0,0,0,1,1,1
1,2023-10-13,lunch,0,0,0,0,0,2
3,2023-10-25,dinner,0,0,0,0,0,1
3,2023-10-08,dinner,0,2,3,1,0,0
1,2023-10-29,lunch,0,1,1,0,0,0
2,2023-10-16,lunch,0,1,1,1,2,1
1,2023-10-27,lunch,0,0,0,0,0,1
2,2023-10-25,dinner,0,2,2,2,0,0
0,2023-10-26,breakfast,2,0,0,0,0,0
0,2023-10-19,lunch,0,0,0,1,1,1
0,2023-10-24,breakfast,3,0,0,0,0,0
2,2023-10-23,lunch,0,0,0,0,0,1
3,2023-10-25,dinner,0,1,3,1,0,0
0,2023-10-31,dinner,0,3,3,1,0,0
1,2023-10-31,lunch,0,0,0,0,0,1
2,2023-10-03,lunch,0,0,0,0,0,1
3,2023-10-04,breakfast,1,0,0,0,0,0
3,2023-10-07,dinner,0,2,3,2,0,0
2,2023-10-03,lunch,0,0,0,0,0,1
2,2023-10-09,lunch,0,0,0,0,0,1
0,2023-10-19,breakfast,0,1,0,0,0,0
2,2023-10-08,breakfast,1,0,0,0,0,0
2,2023-10-21,lunch,0,0,0,0,0,1
3,2023-10-25,lunch,0,0,0,0,0,1
2,2023-10-31,lunch,0,3,2,1,2,1
2,2023-10-14,dinner,0,1,1,2,0,0
2,2023-10-22,dinner,0,1,1,1,0,0
2,2023-10-24,lunch,0,4,1,1,2,1
3,2023-10-08,lunch,0,0,0,0,0,1
3,2023-10-24,lunch,0,2,2,1,0,0
3,2023-10-29,dinner,0,1,3,2,0,0
2,2023-10-11,dinner,0,2,1,2,0,0
2,2023-10-20,dinner,0,2,1,2,0,0
3,2023-10-29,dinner,0,1,2,2,0,0
1,2023-10-17,lunch,0,1,1,0,0,0
0,2023-10-04,lunch,0,0,0,1,2,1
1,2023-10-18,dinner,0,1,2,1,0,0
1,2023-10-21,breakfast,2,0,0,0,0,0
2,2023-10-06,dinner,0,2,3,2,0,0
0,2023-10-06,dinner,0,5,6,5,1,0
0,2023-10-19,breakfast,2,0,0,0,0,0
1,2023-10-02,breakfast,1,0,0,0,0,0
2,2023-10-19,lunch,0,0,0,0,0,1
2,2023-10-11,lunch,0,0,0,0,0,1
1,2023-10-26,lunch,0,0,0,0,0,1
2,2023-10-03,dinner,0,2,1,1,0,0
0,2023-10-13,dinner,0,2,3,1,0,0
1,2023-10-04,lunch,0,0,0,0,0,1
2,2023-10-24,lunch,0,0,0,0,0,1
0,2023-10-30,dinner,0,2,2,1,1,0
3,2023-10-28,lunch,0,0,0,0,0,1
0,2023-10-27,lunch,0,0,0,2,2,1
3,2023-10-14,dinner,0,1,2,1,0,0
1,2023-10-09,lunch,0,0,0,0,0,2
2,2023-10-11,lunch,0,2,1,2,1,1
3,2023-10-04,dinner,0,2,2,2,0,0
0,2023-10-20,lunch,0,1,2,0,0,0
2,2023-10-29,lunch,0,1,2,1,2,1
0,2023-10-20,breakfast,2,0,0,0,0,0
0,2023-10-31,dinner,0,3,3,3,2,0
3,2023-10-06,lunch,0,0,0,0,0,1
0,2023-10-10,dinner,0,2,3,1,0,0
3,2023-10-13,lunch,0,2,2,2,0,0
2,2023-10-15,lunch,0,0,0,0,0,1
2,2023-10-13,dinner,0,1,1,2,0,0
0,2023-10-17,breakfast,3,0,0,0,0,0
1,2023-10-31,breakfast,2,0,0,0,0,0
2,2023-10-16,dinner,0,2,1,2,0,0
3,2023-10-09,dinner,0,2,1,2,0,0
1,2023-10-21,dinner,0,2,2,1,0,0
1,2023-10-06,breakfast,2,0,0,0,0,0
2,2023-10-21,breakfast,1,0,0,0,0,0
2,2023-10-03,dinner,0,1,1,1,0,0
1,2023-10-27,lunch,0,0,0,0,0,2
2,2023-10-27,lunch,0,0,0,0,0,1
2,2023-10-03,lunch,0,0,0,0,0,1
0,2023-10-06,breakfast,2,0,0,0,0,0
1,2023-10-09,breakfast,2,0,0,0,0,0
1,2023-10-08,lunch,0,1,1,0,0,0
3,2023-10-15,lunch,0,2,2,2,0,0
1,2023-10-20,breakfast,0,0,0,3,0,0
2,2023-10-09,lunch,0,0,0,0,0,1
3,2023-10-21,dinner,0,1,3,1,0,0
0,2023-10-24,lunch,0,0,0,1,2,1
3,2023-10-21,dinner,0,1,1,1,0,0
1,2023-10-23,breakfast,0,0,0,1,0,0
3,2023-10-08,lunch,0,0,0,0,0,1
1,2023-10-05,breakfast,0,0,0,1,0,0
3,2023-10-02,breakfast,1,0,0,0,0,0
0,2023-10-27,breakfast,0,1,0,0,0,0
3,2023-10-30,lunch,0,1,2,1,0,0
0,2023-10-03,breakfast,1,0,0,0,0,0
0,2023-10-31,dinner,0,3,3,1,0,0
2,2023-10-12,lunch,0,0,0,0,0,1
0,2023-10-27,breakfast,2,0,0,0,0,0
0,2023-10-26,breakfast,2,0,0,0,0,0
2,2023-10-26,breakfast,1,0,0,0,0,0
1,2023-10-15,breakfast,1,0,0,0,0,0
1,2023-10-13,dinner,0,2,2,1,0,0
3,2023-10-19,dinner,0,1,2,2,0,0
3,2023-10-15,dinner,0,1,3,1,0,0
1,2023-10-11,breakfast,1,0,0,0,0,0
2,2023-10-03,lunch,0,0,0,0,0,1
1,2023-10-06,lunch,0,0,0,0,0,2
3,2023-10-14,dinner,0,2,2,1,0,0
0,2023-10-24,lunch,0,2,1,0,0,0
2,2023-10-14,dinner,0,1,2,2,0,0
1,2023-10-16,lunch,0,0,0,0,0,2
2,2023-10-29,lunch,0,0,0,0,0,1
2,2023-10-19,lunch,0,0,0,0,0,1
0,2023-10-23,breakfast,2,0,0,0,0,0
0,2023-10-13,breakfast,3,0,0,0,0,0
1,2023-10-30,dinner,0,1,1,2,0,0
1,2023-10-14,lunch,0,1,2,0,0,0
0,2023-10-18,dinner,0,3,4,3,1,0
2,2023-10-14,lunch,0,0,0,0,0,1
1,2023-10-31,lunch,0,0,0,0,0,1
2,2023-10-04,lunch,0,0,0,0,0,1
2,2023-10-24,lunch,0,0,0,0,0,1
3,2023-10-05,dinner,0,1,3,1,0,0
3,2023-10-21,breakfast,1,0,0,0,0,0
3,2023-10-30,dinner,0,2,3,1,0,0
2,2023-10-07,dinner,0,2,2,2,0,0
0,2023-10-04,breakfast,1,0,0,0,0,0
0,2023-10-06,dinner,0,2,2,0,0,0
0,2023-10-20,dinner,0,3,2,1,1,0
3,2023-10-23,dinner,0,2,3,1,0,0
2,2023-10-26,breakfast,1,0,0,0,0,0
0,2023-10-31,breakfast,0,1,0,0,0,0
2,2023-10-26,dinner,0,2,2,2,0,0
2,2023-10-29,lunch,0,0,0,0,0,1
3,2023-10-11,dinner,0,1,3,2,0,0
3,2023-10-31,dinner,0,0,0,0,0,1
0,2023-10-16,breakfast,3,0,0,0,0,0
3,2023-10-09,lunch,0,0,0,0,0,1
2,2023-10-21,lunch,0,0,0,0,0,1
3,2023-10-13,dinner,0,1,1,2,0,0
3,2023-10-22,dinner,0,2,2,1,0,0
0,2023-10-27,lunch,0,1,1,0,0,0
3,2023-10-23,lunch,0,2,1,1,0,0
3,2023-10-10,dinner,0,1,1,2,0,0
3,2023-10-02,dinner,0,1,3,1,0,0
2,2023-10-01,dinner,0,2,2,1,0,0
1,2023-10-17,dinner,0,1,3,2,0,0
2,2023-10-15,breakfast,1,0,0,0,0,0
2,2023-10-29,lunch,0,0,0,0,0,1
3,2023-10-12,lunch,0,0,0,0,0,1
3,2023-10-09,lunch,0,0,0,0,0,1
0,2023-10-11,dinner,0,3,3,1,0,0
1,2023-10-27,dinner,0,2,1,2,0,0
3,2023-10-26,lunch,0,0,0,0,0,1
1,2023-10-27,breakfast,2,0,0,0,0,0
1,2023-10-31,dinner,0,1,3,2,0,0
3,2023-10-14,breakfast,1,0,0,0,0,0
2,2023-10-25,lunch,0,0,0,0,0,1
0,2023-10-03,breakfast,3,0,0,0,0,0
3,2023-10-25,dinner,0,2,1,2,0,0
3,2023-10-19,lunch,0,0,0,0,0,1
1,2023-10-21,breakfast,0,0,0,2,0,0
2,2023-10-27,dinner,0,2,1,2,0,0
0,2023-10-24,breakfast,2,0,0,0,0,0
0,2023-10-04,dinner,0,3,4,4,2,0
0,2023-10-17,dinner,0,4,2,3,3,0
1,2023-10-31,lunch,0,1,1,0,0,0
2,2023-10-08,breakfast,1,0,0,0,0,0
1,2023-10-13,breakfast,1,0,0,0,0,0
0,2023-10-09,breakfast,2,0,0,0,0,0
2,2023-10-13,lunch,0,0,0,0,0,1
2,2023-10-28,lunch,0,0,0,0,0,1
0,2023-10-20,breakfast,3,0,0,0,0,0
2,2023-10-01,breakfast,1,0,0,0,0,0
1,2023-10-18,lunch,0,0,0,0,0,1
1,2023-10-27,breakfast,2,0,0,0,0,0
3,2023-10-04,breakfast,1,0,0,0,0,0
1,2023-10-09,lunch,0,0,0,0,0,2
1,2023-10-28,breakfast,2,0,0,0,0,0
0,2023-10-12,lunch,0,0,0,1,1,1
3,2023-10-08,dinner,0,1,2,2,0,0
3,2023-10-03,lunch,0,0,0,0,0,1
0,2023-10-19,dinner,0,6,3,5,4,0
1,2023-10-04,lunch,0,0,0,0,0,2
2,2023-10-05,lunch,0,0,0,0,0,1
0,2023-10-16,dinner,0,3,2,1,1,0
3,2023-10-28,dinner,0,1,3,2,0,0
0,2023-10-20,lunch,0,1,1,0,0,0
3,2023-10-01,dinner,0,1,1,1,0,0
2,2023-10-06,lunch,0,0,0,2,1,1
2,2023-10-18,dinner,0,1,1,1,0,0
3,2023-10-24,dinner,0,2,3,1,0,0
3,2023-10-16,dinner,0,1,2,1,0,0
0,2023-10-05,dinner,0,3,2,2,2,0
0,2023-10-10,dinner,0,3,3,1,0,0
0,2023-10-02,breakfast,1,0,0,0,0,0
1,2023-10-14,lunch,0,1,2,0,0,0
1,2023-10-14,lunch,0,1,2,0,0,0
1,2023-10-01,lunch,0,1,2,0,0,0
0,2023-10-27,breakfast,1,0,0,0,0,0
3,2023-10-23,dinner,0,1,2,2,0,0
1,2023-10-23,lunch,0,0,0,0,0,2
3,2023-10-09,dinner,0,1,2,2,0,0
0,2023-10-31,lunch,0,1,1,0,0,0
3,2023-10-23,lunch,0,0,0,0,0,1
2,2023-10-08,dinner,0,2,3,2,0,0
2,2023-10-01,breakfast,1,0,0,0,0,0
0,2023-10-09,dinner,0,4,5,5,2,0
3,2023-10-21,dinner,0,2,3,2,0,0
2,2023-10-21,lunch,0,0,0,0,0,1
3,2023-10-03,breakfast,1,0,0,0,0,0
0,2023-10-10,dinner,0,4,3,4,3,0
0,2023-10-19,dinner,0,7,4,5,3,0
3,2023-10-04,dinner,0,1,1,2,0,0
0,2023-10-18,breakfast,0,3,0,0,0,0
2,2023-10-21,lunch,0,0,0,0,0,1
2,2023-10-20,dinner,0,2,3,1,0,0
3,2023-10-29,lunch,0,0,0,0,0,1
0,2023-10-02,breakfast,3,0,0,0,0,0
3,2023-10-22,lunch,0,1,2,2,0,0
2,2023-10-30,lunch,0,1,4,1,1,1
2,2023-10-23,breakfast,1,0,0,0,0,0
0,2023-10-10,lunch,0,3,2,0,0,0
2,2023-10-16,dinner,0,1,3,1,0,0
2,2023-10-03,dinner,0,1,2,1,0,0
1,2023-10-18,dinner,0,2,2,1,0,0
2,2023-10-23,lunch,0,0,0,0,0,1
0,2023-10-17,dinner,0,2,1,0,0,0
1,2023-10-08,breakfast,2,0,0,0,0,0
2,2023-10-11,lunch,0,2,4,2,1,1
3,2023-10-29,lunch,0,1,2,2,0,0
0,2023-10-23,breakfast,2,0,0,0,0,0
0,2023-10-02,lunch,0,0,0,2,1,1
2,2023-10-07,dinner,0,1,2,1,0,0
