Station,Date,Influx,Tickets,Pre-booked,Onspot,Revenue
ST01,2/19/2022,3565,2201,1687,514,11005
ST01,2/20/2022,7045,3828,3269,559,19140
ST01,2/21/2022,3285,1058,869,189,5290
ST01,2/22/2022,9772,9173,6797,2376,45865
ST01,2/23/2022,4586,2740,2411,329,13700
ST01,2/24/2022,6187,3193,2851,342,15965
ST01,2/25/2022,3589,1957,1796,161,9785
ST01,2/26/2022,6494,3157,2604,553,15785
ST01,2/27/2022,9718,7762,7031,731,38810
ST01,2/28/2022,5232,4155,3370,785,20775
ST01,3/1/2022,6535,1615,1457,158,8075
ST01,3/2/2022,7855,5454,4370,1084,27270
ST01,3/3/2022,4423,1876,1469,407,9380
ST01,3/4/2022,4490,3628,3263,365,18140
ST01,3/5/2022,8507,7292,6353,939,36460
ST01,3/6/2022,8637,4585,4175,410,22925
ST01,3/7/2022,3104,631,477,154,3155
ST01,3/8/2022,9144,5718,4872,846,28590
ST01,3/9/2022,7946,5207,4228,979,26035
ST01,3/10/2022,8503,2121,1669,452,10605
ST01,3/11/2022,3927,1327,1102,225,6635
ST01,3/12/2022,5206,2464,2208,256,12320
ST01,3/13/2022,9921,4963,4140,823,24815
ST01,3/14/2022,3304,1679,1185,494,8395
ST01,3/15/2022,9186,2030,1827,203,10150
ST01,3/16/2022,9451,3693,3203,490,18465
ST01,3/17/2022,4579,906,802,104,4530
ST01,3/18/2022,4622,2135,1918,217,10675
ST01,3/19/2022,3576,2100,1484,616,10500
ST01,3/20/2022,9956,5219,4153,1066,26095
ST01,3/21/2022,7393,7240,5916,1324,36200
ST01,3/22/2022,7281,5339,4250,1089,26695
ST01,3/23/2022,9692,7978,5585,2393,39890
ST01,3/24/2022,9333,6173,5673,500,30865
ST01,3/25/2022,6091,3878,2739,1139,19390
ST01,3/26/2022,3849,801,666,135,4005
ST01,3/27/2022,8715,3488,2639,849,17440
ST01,3/28/2022,3423,2651,2064,587,13255
ST01,3/29/2022,4154,3433,2939,494,17165
ST01,3/30/2022,9787,9406,7473,1933,47030
ST01,3/31/2022,5544,5190,3916,1274,25950
ST01,4/1/2022,5037,3231,2446,785,16155
ST01,4/2/2022,7645,6666,5371,1295,33330
ST01,4/3/2022,5926,1667,1200,467,8335
ST01,4/4/2022,5280,2172,1632,540,10860
ST01,4/5/2022,8294,2453,1822,631,12265
ST01,4/6/2022,3962,2302,1685,617,11510
ST01,4/7/2022,6010,2841,2165,676,14205
ST01,4/8/2022,7257,1286,955,331,6430
ST01,4/9/2022,7396,6344,5368,976,31720
ST01,4/10/2022,6466,3101,2237,864,15505
ST01,4/11/2022,3954,908,791,117,4540
ST01,4/12/2022,7082,3659,2592,1067,18295
ST01,4/13/2022,7919,1052,854,198,5260
ST01,4/14/2022,7163,1684,1212,472,8420
ST01,4/15/2022,4546,3743,3124,619,18715
ST01,4/16/2022,9269,4406,4008,398,22030
ST01,4/17/2022,8257,7168,5985,1183,35840
ST01,4/18/2022,4983,4358,3277,1081,21790
ST01,4/19/2022,5260,4630,3425,1205,23150
ST01,4/20/2022,5379,3623,2918,705,18115
ST01,4/21/2022,8196,1596,1118,478,7980
ST01,4/22/2022,3337,2877,2542,335,14385
ST01,4/23/2022,3936,1529,1167,362,7645
ST01,4/24/2022,9060,2305,1630,675,11525
ST01,4/25/2022,5584,4978,3822,1156,24890
ST01,4/26/2022,9844,1380,1098,282,6900
ST01,4/27/2022,9508,4162,2969,1193,20810
ST01,4/28/2022,6295,5286,4762,524,26430
ST01,4/29/2022,8614,5627,5143,484,28135
ST01,4/30/2022,3652,965,856,109,4825
ST01,5/1/2022,9896,2612,1956,656,13060
ST01,5/2/2022,5169,2383,2101,282,11915
ST01,5/3/2022,9470,6115,4994,1121,30575
ST01,5/4/2022,5163,2443,1843,600,12215
ST01,5/5/2022,3389,1163,833,330,5815
ST01,5/6/2022,7724,7187,5742,1445,35935
ST01,5/7/2022,5009,1778,1600,178,8890
ST01,5/8/2022,7130,1048,921,127,5240
ST01,5/9/2022,7347,5524,5061,463,27620
ST01,5/10/2022,9645,2608,2270,338,13040
ST01,5/11/2022,6766,5092,4257,835,25460
ST01,5/12/2022,4770,1370,1120,250,6850
ST01,5/13/2022,6443,2766,2462,304,13830
ST01,5/14/2022,5333,3533,2500,1033,17665
ST01,5/15/2022,5852,3141,2747,394,15705
ST01,5/16/2022,8118,6369,5397,972,31845
ST01,5/17/2022,4588,2186,1583,603,10930
ST01,5/18/2022,6480,1179,955,224,5895
ST01,5/19/2022,5268,5054,3604,1450,25270
ST01,5/20/2022,4581,3456,3051,405,17280
ST01,5/21/2022,8571,5612,4116,1496,28060
ST01,5/22/2022,9545,4318,3953,365,21590
ST01,5/23/2022,7670,3560,2867,693,17800
ST01,5/24/2022,9621,5452,4871,581,27260
ST01,5/25/2022,3851,3440,2802,638,17200
ST01,5/26/2022,9529,5750,4402,1348,28750
ST01,5/27/2022,5971,1347,1127,220,6735
ST01,5/28/2022,8609,6033,4792,1241,30165
ST01,5/29/2022,7091,3806,3064,742,19030
ST01,5/30/2022,8813,6502,4848,1654,32510
ST01,5/31/2022,3047,381,339,42,1905
ST01,6/1/2022,3658,1974,1595,379,9870
ST01,6/2/2022,5959,3171,2553,618,15855
ST01,6/3/2022,3717,2373,2044,329,11865
ST01,6/4/2022,4107,1852,1338,514,9260
ST01,6/5/2022,5827,4969,4549,420,24845
ST01,6/6/2022,9440,4649,4191,458,23245
ST01,6/7/2022,7373,6823,4836,1987,34115
ST01,6/8/2022,7857,4462,4034,428,22310
ST01,6/9/2022,5587,5396,3832,1564,26980
ST01,6/10/2022,5202,4072,3126,946,20360
ST01,6/11/2022,7729,4818,3793,1025,24090
ST01,6/12/2022,5379,5240,3729,1511,26200
ST01,6/13/2022,8294,1805,1595,210,9025
ST01,6/14/2022,8400,2673,2348,325,13365
ST01,6/15/2022,8254,6740,5850,890,33700
ST01,6/16/2022,7132,4728,4186,542,23640
ST01,6/17/2022,7320,6440,4785,1655,32200
ST01,6/18/2022,7088,6155,4377,1778,30775
ST01,6/19/2022,8133,2504,2145,359,12520
ST01,6/20/2022,8224,5801,4911,890,29005
ST01,6/21/2022,4597,2010,1601,409,10050
ST01,6/22/2022,8536,4060,3562,498,20300
ST01,6/23/2022,9138,6965,5122,1843,34825
ST01,6/24/2022,4302,1042,759,283,5210
ST01,6/25/2022,4858,1275,921,354,6375
ST01,6/26/2022,7740,4266,3075,1191,21330
ST01,6/27/2022,3273,1764,1307,457,8820
ST01,6/28/2022,5022,1425,1261,164,7125
ST01,6/29/2022,4307,1141,969,172,5705
ST01,6/30/2022,7656,7509,5959,1550,37545
ST01,7/1/2022,5107,2733,2314,419,13665
ST01,7/2/2022,7127,3510,3193,317,17550
ST01,7/3/2022,5734,5456,3899,1557,27280
ST01,7/4/2022,9694,5938,5286,652,29690
ST01,7/5/2022,7448,1844,1456,388,9220
ST01,7/6/2022,8610,2102,1809,293,10510
ST01,7/7/2022,5187,2439,2055,384,12195
ST01,7/8/2022,5438,3508,2461,1047,17540
ST01,7/9/2022,9561,1549,1105,444,7745
ST01,7/10/2022,3058,2763,1950,813,13815
ST01,7/11/2022,7173,6812,5390,1422,34060
ST01,7/12/2022,6679,3244,2386,858,16220
ST01,7/13/2022,5274,3495,2691,804,17475
ST01,7/14/2022,6820,2277,2060,217,11385
ST01,7/15/2022,4915,2607,2231,376,13035
ST01,7/16/2022,6879,5815,5313,502,29075
ST01,7/17/2022,5708,2722,2060,662,13610
ST01,7/18/2022,6611,4263,3646,617,21315
ST01,7/19/2022,4243,1501,1072,429,7505
ST01,7/20/2022,6521,1902,1483,419,9510
ST01,7/21/2022,8637,5825,4137,1688,29125
ST01,7/22/2022,8778,2070,1555,515,10350
ST01,7/23/2022,4820,3047,2702,345,15235
ST01,7/24/2022,3106,1027,780,247,5135
ST01,7/25/2022,5899,2887,2572,315,14435
ST01,7/26/2022,8133,1738,1317,421,8690
ST01,7/27/2022,7053,1645,1283,362,8225
ST01,7/28/2022,8874,1252,1025,227,6260
ST01,7/29/2022,5282,1958,1509,449,9790
ST01,7/30/2022,7500,3595,3262,333,17975
ST01,7/31/2022,8941,1524,1127,397,7620
ST01,8/1/2022,3861,2726,2110,616,13630
ST01,8/2/2022,7932,7172,5467,1705,35860
ST01,8/3/2022,5384,3876,3235,641,19380
ST01,8/4/2022,4004,1772,1300,472,8860
ST01,8/5/2022,4446,1839,1531,308,9195
ST01,8/6/2022,8923,2115,1638,477,10575
ST01,8/7/2022,5323,3167,2460,707,15835
ST01,8/8/2022,7461,3492,2469,1023,17460
ST01,8/9/2022,5085,1969,1557,412,9845
ST01,8/10/2022,9701,8399,6095,2304,41995
ST01,8/11/2022,5122,979,816,163,4895
ST01,8/12/2022,8322,5937,5191,746,29685
ST01,8/13/2022,8012,6654,4837,1817,33270
ST01,8/14/2022,3716,1375,1219,156,6875
ST01,8/15/2022,7358,3088,2208,880,15440
ST01,8/16/2022,3611,1132,829,303,5660
ST01,8/17/2022,6676,1307,1109,198,6535
ST01,8/18/2022,7990,2874,2328,546,14370
ST01,8/19/2022,5046,4472,3892,580,22360
ST01,8/20/2022,4803,1845,1570,275,9225
ST01,8/21/2022,3374,2522,1926,596,12610
ST01,8/22/2022,8907,5755,5207,548,28775
ST01,8/23/2022,6534,4253,3321,932,21265
ST01,8/24/2022,3562,2935,2367,568,14675
ST01,8/25/2022,5345,4067,3307,760,20335
ST01,8/26/2022,3951,2132,1715,417,10660
ST01,8/27/2022,3654,814,602,212,4070
ST01,8/28/2022,4893,2139,1549,590,10695
ST01,8/29/2022,5596,1748,1547,201,8740
ST01,8/30/2022,9040,1693,1542,151,8465
ST01,8/31/2022,5227,1841,1508,333,9205
ST01,9/1/2022,6731,3510,2752,758,17550
ST01,9/2/2022,3054,2623,1841,782,13115
ST01,9/3/2022,4161,3794,3131,663,18970
ST01,9/4/2022,3656,1233,1131,102,6165
ST01,9/5/2022,6682,1613,1173,440,8065
ST01,9/6/2022,4825,1047,737,310,5235
ST01,9/7/2022,9435,7867,6388,1479,39335
ST01,9/8/2022,4797,2616,2087,529,13080
ST01,9/9/2022,9173,7338,5421,1917,36690
ST01,9/10/2022,8099,4030,3559,471,20150
ST01,9/11/2022,9797,3601,3093,508,18005
ST01,9/12/2022,9351,5022,4362,660,25110
ST01,9/13/2022,6961,4143,3735,408,20715
ST01,9/14/2022,6571,1969,1421,548,9845
ST01,9/15/2022,3126,2239,2014,225,11195
ST01,9/16/2022,8555,7728,5743,1985,38640
ST01,9/17/2022,3702,2245,1600,645,11225
ST01,9/18/2022,9902,9645,8257,1388,48225
ST01,9/19/2022,5411,2547,2027,520,12735
ST01,9/20/2022,8250,6332,5237,1095,31660
ST01,9/21/2022,6698,4794,4132,662,23970
ST01,9/22/2022,4843,1516,1226,290,7580
ST01,9/23/2022,5908,2787,2176,611,13935
ST01,9/24/2022,4111,1193,876,317,5965
ST01,9/25/2022,3651,721,515,206,3605
ST01,9/26/2022,5100,2980,2468,512,14900
ST01,9/27/2022,5306,4499,3440,1059,22495
ST01,9/28/2022,6740,4034,2921,1113,20170
ST01,9/29/2022,3205,2213,1840,373,11065
ST01,9/30/2022,6540,4636,3371,1265,23180
ST01,10/1/2022,9319,2401,2092,309,12005
ST01,10/2/2022,9813,4926,4160,766,24630
ST01,10/3/2022,9855,8241,6489,1752,41205
ST01,10/4/2022,8172,2896,2274,622,14480
ST01,10/5/2022,3154,2236,2046,190,11180
ST01,10/6/2022,7354,3837,2689,1148,19185
ST01,10/7/2022,3805,1367,1094,273,6835
ST01,10/8/2022,8950,2543,2157,386,12715
ST01,10/9/2022,5546,3869,2870,999,19345
ST01,10/10/2022,3252,2372,2012,360,11860
ST01,10/11/2022,5961,4363,3961,402,21815
ST01,10/12/2022,5859,4405,3221,1184,22025
ST01,10/13/2022,5237,2524,2028,496,12620
ST01,10/14/2022,8033,3453,3141,312,17265
ST01,10/15/2022,7299,1031,928,103,5155
ST01,10/16/2022,4833,4702,3856,846,23510
ST01,10/17/2022,7760,5054,3667,1387,25270
ST01,10/18/2022,9386,6110,5296,814,30550
ST01,10/19/2022,7270,3363,3055,308,16815
ST01,10/20/2022,8707,3552,2902,650,17760
ST01,10/21/2022,4731,3601,3110,491,18005
ST01,10/22/2022,4526,2518,1938,580,12590
ST01,10/23/2022,3591,2865,2263,602,14325
ST01,10/24/2022,3213,1474,1163,311,7370
ST01,10/25/2022,5470,4684,4048,636,23420
ST01,10/26/2022,3547,805,579,226,4025
ST01,10/27/2022,8733,2305,1876,429,11525
ST01,10/28/2022,7122,5164,4067,1097,25820
ST01,10/29/2022,3351,622,552,70,3110
ST01,10/30/2022,8589,4169,3021,1148,20845
ST01,10/31/2022,7237,6774,5367,1407,33870
ST01,11/1/2022,4875,1765,1434,331,8825
ST01,11/2/2022,5010,1626,1161,465,8130
ST01,11/3/2022,8383,6378,5864,514,31890
ST01,11/4/2022,5658,3522,2978,544,17610
ST01,11/5/2022,5055,681,562,119,3405
ST01,11/6/2022,8747,8592,7539,1053,42960
ST01,11/7/2022,4670,4336,3173,1163,21680
ST01,11/8/2022,6739,3824,2755,1069,19120
ST01,11/9/2022,9081,2621,1844,777,13105
ST01,11/10/2022,6355,5748,4159,1589,28740
ST01,11/11/2022,6164,5309,4735,574,26545
ST01,11/12/2022,7585,1924,1371,553,9620
ST01,11/13/2022,8290,7471,6336,1135,37355
ST01,11/14/2022,3346,451,377,74,2255
ST01,11/15/2022,9262,1830,1299,531,9150
ST01,11/16/2022,9927,6887,6197,690,34435
ST01,11/17/2022,7398,6962,5366,1596,34810
ST01,11/18/2022,7465,4082,3024,1058,20410
ST01,11/19/2022,6638,1676,1490,186,8380
ST01,11/20/2022,8143,1642,1368,274,8210
ST01,11/21/2022,6532,4722,3639,1083,23610
ST01,11/22/2022,7216,3734,2709,1025,18670
ST01,11/23/2022,3199,831,615,216,4155
ST01,11/24/2022,6371,4339,3088,1251,21695
ST01,11/25/2022,6104,2288,1778,510,11440
ST01,11/26/2022,9972,2400,1930,470,12000
ST01,11/27/2022,8856,8185,6168,2017,40925
ST01,11/28/2022,3733,1239,1066,173,6195
ST01,11/29/2022,4533,3628,3194,434,18140
ST01,11/30/2022,8082,5110,4477,633,25550
ST01,12/1/2022,5703,1700,1347,353,8500
ST01,12/2/2022,7726,955,832,123,4775
ST01,12/3/2022,7287,3305,2983,322,16525
ST01,12/4/2022,6089,4008,3668,340,20040
ST01,12/5/2022,7417,5350,4241,1109,26750
ST01,12/6/2022,7910,2331,1747,584,11655
ST01,12/7/2022,4055,905,801,104,4525
ST01,12/8/2022,8880,2246,1580,666,11230
ST01,12/9/2022,3046,1983,1749,234,9915
ST01,12/10/2022,4710,994,779,215,4970
ST01,12/11/2022,8181,5859,4412,1447,29295
ST01,12/12/2022,3648,1304,1048,256,6520
ST01,12/13/2022,5745,5278,4448,830,26390
ST01,12/14/2022,9287,4227,3775,452,21135
ST01,12/15/2022,5903,2063,1530,533,10315
ST01,12/16/2022,8826,1507,1168,339,7535
ST01,12/17/2022,3726,3303,2949,354,16515
ST01,12/18/2022,9444,3771,3062,709,18855
ST01,12/19/2022,9654,4377,3443,934,21885
ST01,12/20/2022,9180,5079,3681,1398,25395
ST01,12/21/2022,6209,5029,3598,1431,25145
ST01,12/22/2022,7113,1177,1011,166,5885
ST01,12/23/2022,9529,4194,2960,1234,20970
ST01,12/24/2022,7508,6296,5610,686,31480
ST01,12/25/2022,8566,2225,1731,494,11125
ST01,12/26/2022,3360,1966,1525,441,9830
ST01,12/27/2022,4864,998,859,139,4990
ST01,12/28/2022,9036,5082,3917,1165,25410
ST01,12/29/2022,7192,2172,1557,615,10860
ST01,12/30/2022,7732,2579,2073,506,12895
ST01,12/31/2022,3175,564,479,85,2820
ST02,1/1/2022,4519,3776,2842,934,18880
ST02,1/2/2022,5908,4637,3247,1390,23185
ST02,1/3/2022,6657,6240,4690,1550,31200
ST02,1/4/2022,9527,6241,5052,1189,31205
ST02,1/5/2022,9249,7558,5729,1829,37790
ST02,1/6/2022,6069,966,881,85,4830
ST02,1/7/2022,3921,704,551,153,3520
ST02,1/8/2022,7918,5829,4239,1590,29145
ST02,1/9/2022,3154,1893,1329,564,9465
ST02,1/10/2022,9177,1968,1790,178,9840
ST02,1/11/2022,5364,4169,3173,996,20845
ST02,1/12/2022,5317,3072,2635,437,15360
ST02,1/13/2022,4857,2429,2158,271,12145
ST02,1/14/2022,4508,993,750,243,4965
ST02,1/15/2022,7220,931,777,154,4655
ST02,1/16/2022,8490,6254,5315,939,31270
ST02,1/17/2022,3819,3289,2852,437,16445
ST02,1/18/2022,4856,4436,3471,965,22180
ST02,1/19/2022,3781,868,650,218,4340
ST02,1/20/2022,7650,2993,2240,753,14965
ST02,1/21/2022,8478,3244,2759,485,16220
ST02,1/22/2022,7906,1365,1092,273,6825
ST02,1/23/2022,4160,3677,3288,389,18385
ST02,1/24/2022,6390,3347,2470,877,16735
ST02,1/25/2022,4436,926,658,268,4630
ST02,1/26/2022,3141,853,706,147,4265
ST02,1/27/2022,7553,3776,3001,775,18880
ST02,1/28/2022,9625,2285,1654,631,11425
ST02,1/29/2022,8125,6188,5527,661,30940
ST02,1/30/2022,7606,2862,2286,576,14310
ST02,1/31/2022,3091,995,854,141,4975
ST02,2/1/2022,6491,5859,4390,1469,29295
ST02,2/2/2022,9269,8303,7422,881,41515
ST02,2/3/2022,3895,2108,1735,373,10540
ST02,2/4/2022,7199,1875,1570,305,9375
ST02,2/5/2022,7696,5356,4509,847,26780
ST02,2/6/2022,6400,2312,1757,555,11560
ST02,2/7/2022,8102,4899,3474,1425,24495
ST02,2/8/2022,6704,5762,5059,703,28810
ST02,2/9/2022,7014,5624,4859,765,28120
ST02,2/10/2022,3297,1923,1597,326,9615
ST02,2/11/2022,4061,3637,2672,965,18185
ST02,2/12/2022,4419,2358,1980,378,11790
ST02,2/13/2022,4415,759,562,197,3795
ST02,2/14/2022,3932,2140,1678,462,10700
ST02,2/15/2022,3247,939,834,105,4695
ST02,2/16/2022,9653,8314,6207,2107,41570
ST02,2/17/2022,6999,1456,1300,156,7280
ST02,2/18/2022,7482,1027,743,284,5135
ST02,2/19/2022,5428,2759,2204,555,13795
ST02,2/20/2022,7659,6211,4955,1256,31055
ST02,2/21/2022,4251,3259,2389,870,16295
ST02,2/22/2022,8909,1927,1687,240,9635
ST02,2/23/2022,7182,5468,3970,1498,27340
ST02,2/24/2022,8799,7568,6939,629,37840
ST02,2/25/2022,6397,3720,2665,1055,18600
ST02,2/26/2022,5534,718,653,65,3590
ST02,2/27/2022,4343,3900,2748,1152,19500
ST02,2/28/2022,5008,3725,3218,507,18625
ST02,3/1/2022,9242,4510,3702,808,22550
ST02,3/2/2022,3944,505,453,52,2525
ST02,3/3/2022,4728,2881,2287,594,14405
ST02,3/4/2022,4098,3884,2833,1051,19420
ST02,3/5/2022,9115,7624,5593,2031,38120
ST02,3/6/2022,7739,6612,5058,1554,33060
ST02,3/7/2022,4540,1373,1085,288,6865
ST02,3/8/2022,5466,4149,3357,792,20745
ST02,3/9/2022,6199,1271,1061,210,6355
ST02,3/10/2022,7921,950,716,234,4750
ST02,3/11/2022,5373,4767,3768,999,23835
ST02,3/12/2022,7675,1567,1122,445,7835
ST02,3/13/2022,3223,1691,1387,304,8455
ST02,3/14/2022,8688,5066,4298,768,25330
ST02,3/15/2022,3239,2216,1789,427,11080
ST02,3/16/2022,3763,3396,3020,376,16980
ST02,3/17/2022,8613,5127,4133,994,25635
ST02,3/18/2022,5245,4056,2891,1165,20280
ST02,3/19/2022,3363,1832,1658,174,9160
ST02,3/20/2022,3647,3367,2661,706,16835
ST02,3/21/2022,3813,2366,1956,410,11830
ST02,3/22/2022,7750,6336,5826,510,31680
ST02,3/23/2022,3535,3178,2427,751,15890
ST02,3/24/2022,6856,4131,3226,905,20655
ST02,3/25/2022,9857,7317,5586,1731,36585
ST02,3/26/2022,9088,8548,6118,2430,42740
ST02,3/27/2022,6220,2585,2210,375,12925
ST02,3/28/2022,8695,3687,2886,801,18435
ST02,3/29/2022,4894,3250,2620,630,16250
ST02,3/30/2022,3367,2686,2113,573,13430
ST02,3/31/2022,4076,1856,1654,202,9280
ST02,4/1/2022,4106,2476,2035,441,12380
ST02,4/2/2022,8815,2935,2067,868,14675
ST02,4/3/2022,8657,4702,3457,1245,23510
ST02,4/4/2022,8838,1514,1343,171,7570
ST02,4/5/2022,3653,3271,2815,456,16355
ST02,4/6/2022,9574,9312,8402,910,46560
ST02,4/7/2022,5734,3402,2652,750,17010
ST02,4/8/2022,9608,5621,4175,1446,28105
ST02,4/9/2022,4121,1142,1005,137,5710
ST02,4/10/2022,8932,7202,6368,834,36010
ST02,4/11/2022,7344,1432,1176,256,7160
ST02,4/12/2022,9800,5777,4564,1213,28885
ST02,4/13/2022,5072,3408,3049,359,17040
ST02,4/14/2022,4050,3496,3020,476,17480
ST02,4/15/2022,8612,5250,4044,1206,26250
ST02,4/16/2022,9483,5040,4551,489,25200
ST02,4/17/2022,5753,4640,3304,1336,23200
ST02,4/18/2022,8325,3230,2830,400,16150
ST02,4/19/2022,8033,917,794,123,4585
ST02,4/20/2022,9618,4971,4260,711,24855
ST02,4/21/2022,9971,5607,5006,601,28035
ST02,4/22/2022,3090,1878,1704,174,9390
ST02,4/23/2022,9794,5512,4296,1216,27560
ST02,4/24/2022,9870,5167,4610,557,25835
ST02,4/25/2022,8963,2289,1928,361,11445
ST02,4/26/2022,6888,4646,3795,851,23230
ST02,4/27/2022,6193,1265,1021,244,6325
ST02,4/28/2022,6994,3563,3217,346,17815
ST02,4/29/2022,7697,6148,4509,1639,30740
ST02,4/30/2022,4727,3359,2958,401,16795
ST02,5/1/2022,7742,7124,5105,2019,35620
ST02,5/2/2022,9513,6973,6360,613,34865
ST02,5/3/2022,3578,1833,1287,546,9165
ST02,5/4/2022,3792,1497,1134,363,7485
ST02,5/5/2022,3919,1849,1323,526,9245
ST02,5/6/2022,4488,991,865,126,4955
ST02,5/7/2022,5364,5099,3772,1327,25495
ST02,5/8/2022,8958,3658,2634,1024,18290
ST02,5/9/2022,4031,978,684,294,4890
ST02,5/10/2022,4939,1642,1307,335,8210
ST02,5/11/2022,4364,1334,962,372,6670
ST02,5/12/2022,9851,8489,6822,1667,42445
ST02,5/13/2022,4982,3918,3337,581,19590
ST02,5/14/2022,5852,3576,3008,568,17880
ST02,5/15/2022,6479,3666,2896,770,18330
ST02,5/16/2022,7372,6569,5107,1462,32845
ST02,5/17/2022,4089,756,638,118,3780
ST02,5/18/2022,8237,5416,4982,434,27080
ST02,5/19/2022,7837,2086,1703,383,10430
ST02,5/20/2022,7355,1882,1434,448,9410
ST02,5/21/2022,5311,1447,1054,393,7235
ST02,5/22/2022,3640,3056,2278,778,15280
ST02,5/23/2022,7223,6967,5266,1701,34835
ST02,5/24/2022,3340,1430,1182,248,7150
ST02,5/25/2022,3638,3017,2206,811,15085
ST02,5/26/2022,4557,3895,2878,1017,19475
ST02,5/27/2022,6970,1936,1722,214,9680
ST02,5/28/2022,7324,5632,5110,522,28160
ST02,5/29/2022,9080,2249,1687,562,11245
ST02,5/30/2022,7256,2796,2255,541,13980
ST02,5/31/2022,6298,4361,3657,704,21805
ST02,6/1/2022,3550,1437,1202,235,7185
ST02,6/2/2022,4934,2442,1983,459,12210
ST02,6/3/2022,5786,3224,2401,823,16120
ST02,6/4/2022,4948,3381,2724,657,16905
ST02,6/5/2022,9636,5286,4529,757,26430
ST02,6/6/2022,7670,6760,5976,784,33800
ST02,6/7/2022,9872,7622,6131,1491,38110
ST02,6/8/2022,5729,1951,1590,361,9755
ST02,6/9/2022,3033,1301,1021,280,6505
ST02,6/10/2022,6351,2863,2326,537,14315
ST02,6/11/2022,4016,3756,3088,668,18780
ST02,6/12/2022,7055,4664,3958,706,23320
ST02,6/13/2022,7679,5684,4719,965,28420
ST02,6/14/2022,6577,2109,1917,192,10545
ST02,6/15/2022,6662,5307,4514,793,26535
ST02,6/16/2022,8153,4878,4164,714,24390
ST02,6/17/2022,7545,3434,2548,886,17170
ST02,6/18/2022,9788,4279,3199,1080,21395
ST02,6/19/2022,9802,5984,4756,1228,29920
ST02,6/20/2022,8168,7918,6118,1800,39590
ST02,6/21/2022,5125,738,555,183,3690
ST02,6/22/2022,9576,4628,3407,1221,23140
ST02,6/23/2022,9377,7139,6013,1126,35695
ST02,6/24/2022,8894,4143,3215,928,20715
ST02,6/25/2022,6246,2994,2516,478,14970
ST02,6/26/2022,3783,2638,2059,579,13190
ST02,6/27/2022,3157,2697,2291,406,13485
ST02,6/28/2022,7808,4601,3350,1251,23005
ST02,6/29/2022,6484,3523,2545,978,17615
ST02,6/30/2022,6014,1377,1044,333,6885
ST02,7/1/2022,9622,7511,6873,638,37555
ST02,7/2/2022,9531,9209,8101,1108,46045
ST02,7/3/2022,5425,5038,4218,820,25190
ST02,7/4/2022,5079,4532,3949,583,22660
ST02,7/5/2022,6983,4841,4245,596,24205
ST02,7/6/2022,5447,3042,2655,387,15210
ST02,7/7/2022,7727,3376,2924,452,16880
ST02,7/8/2022,5386,2193,2004,189,10965
ST02,7/9/2022,6242,1525,1386,139,7625
ST02,7/10/2022,7643,6434,4779,1655,32170
